finding_id,title,severity,status,category,cloud_provider,cloud_account,resource_id,resource_type,resource_name,region,internet_facing,data_classification,compliance_framework,cis_control,created_date,closed_date,sla_hours,assignee,assignment_group
WIZ-001,S3 Bucket Public Access Enabled,CRITICAL,Open,Storage,Azure,SUB-PROD-001,/subscriptions/prod-001/storageAccounts/stgprod01,Storage Account,stgprod01,East US,Yes,Confidential,CIS Azure 3.7,3.7,2025-01-05,,24,,
WIZ-002,NSG Allows SSH from 0.0.0.0/0,CRITICAL,Open,Network,Azure,SUB-PROD-001,/subscriptions/prod-001/nsg/nsg-web-01,NSG,nsg-web-01,East US,Yes,Internal,CIS Azure 6.1,6.1,2025-01-08,,24,,
WIZ-003,VM Missing Endpoint Protection,HIGH,Open,Compute,Azure,SUB-PROD-002,/subscriptions/prod-002/vm/vm-app-01,Virtual Machine,vm-app-01,West US,No,Confidential,CIS Azure 7.5,7.5,2025-01-10,,168,,
WIZ-004,Key Vault Soft Delete Disabled,HIGH,Open,Encryption,Azure,SUB-PROD-001,/subscriptions/prod-001/keyvault/kv-prod-01,Key Vault,kv-prod-01,East US,No,Restricted,CIS Azure 8.4,8.4,2025-01-12,,168,,
WIZ-005,SQL Database TDE Disabled,HIGH,Closed,Database,Azure,SUB-PROD-003,/subscriptions/prod-003/sql/sql-reporting,SQL Database,sql-reporting,Central US,No,Confidential,CIS Azure 4.1,4.1,2025-01-03,2025-01-06,168,,
WIZ-006,GCS Bucket Uniform Access Disabled,MEDIUM,Open,Storage,GCP,PROJ-PROD-001,projects/prod-001/buckets/data-lake-01,Cloud Storage,data-lake-01,us-central1,No,Internal,CIS GCP 5.2,5.2,2025-01-15,,720,,
WIZ-007,Firewall Rule Open to All - RDP,CRITICAL,Closed,Network,GCP,PROJ-PROD-001,projects/prod-001/firewalls/allow-rdp-all,Firewall Rule,allow-rdp-all,global,Yes,Internal,CIS GCP 3.7,3.7,2025-01-02,2025-01-03,24,,
WIZ-008,Service Account Key Not Rotated,HIGH,Open,IAM,GCP,PROJ-PROD-002,projects/prod-002/sa/svc-data-pipeline,Service Account,svc-data-pipeline,global,No,Confidential,CIS GCP 1.7,1.7,2025-01-18,,168,,
WIZ-009,Entra ID MFA Not Enforced for Admins,CRITICAL,Open,IAM,Azure,SUB-CORP-001,/tenants/corp/users/admin-group,Entra ID Group,Global-Admins,global,Yes,Restricted,CIS Azure 1.1.1,1.1.1,2025-01-20,,24,,
WIZ-010,Storage Account HTTP Access Allowed,HIGH,Open,Storage,Azure,SUB-PROD-002,/subscriptions/prod-002/storageAccounts/stgdata02,Storage Account,stgdata02,West US,No,Internal,CIS Azure 3.1,3.1,2025-01-22,,168,,
WIZ-011,VM Disk Encryption Disabled,HIGH,Closed,Compute,Azure,SUB-PROD-001,/subscriptions/prod-001/vm/vm-db-01,Virtual Machine,vm-db-01,East US,No,Restricted,CIS Azure 7.2,7.2,2025-01-08,2025-01-14,168,,
WIZ-012,GKE Cluster Legacy ABAC Enabled,CRITICAL,Open,Container,GCP,PROJ-PROD-003,projects/prod-003/clusters/gke-prod-01,GKE Cluster,gke-prod-01,us-east1,No,Confidential,CIS GKE 6.8,6.8,2025-01-25,,24,,
WIZ-013,Blob Container Anonymous Access,CRITICAL,Closed,Storage,Azure,SUB-DEV-001,/subscriptions/dev-001/storageAccounts/stgdev01,Storage Account,stgdev01,East US,Yes,Public,CIS Azure 3.5,3.5,2024-12-28,2024-12-29,24,,
WIZ-014,AKS Pod Running as Root,HIGH,Open,Container,Azure,SUB-PROD-001,/subscriptions/prod-001/aks/aks-prod-01/pods/api-gateway,AKS Pod,api-gateway,East US,No,Internal,CIS EKS 5.2.6,5.2.6,2025-01-28,,168,,
WIZ-015,IAM User with Inactive Keys >90d,MEDIUM,Open,IAM,GCP,PROJ-PROD-001,projects/prod-001/sa/svc-legacy-app,Service Account,svc-legacy-app,global,No,Internal,CIS GCP 1.4,1.4,2025-01-30,,720,,
WIZ-016,NSG Allows All Inbound Traffic,CRITICAL,Open,Network,Azure,SUB-PROD-003,/subscriptions/prod-003/nsg/nsg-legacy,NSG,nsg-legacy,Central US,Yes,Confidential,CIS Azure 6.3,6.3,2025-02-01,,24,,
WIZ-017,SQL Server Auditing Disabled,MEDIUM,Open,Database,Azure,SUB-PROD-002,/subscriptions/prod-002/sql/sql-analytics,SQL Database,sql-analytics,West US,No,Internal,CIS Azure 4.2,4.2,2025-02-03,,720,,
WIZ-018,GCS Bucket Public to allUsers,CRITICAL,Closed,Storage,GCP,PROJ-DEV-001,projects/dev-001/buckets/public-assets,Cloud Storage,public-assets,us-east1,Yes,Public,CIS GCP 5.1,5.1,2025-01-15,2025-01-16,24,,
WIZ-019,Conditional Access Policy Missing,HIGH,Open,IAM,Azure,SUB-CORP-001,/tenants/corp/policies/ca-require-mfa,Entra ID Policy,CA-Require-MFA,global,Yes,Restricted,CIS Azure 1.2.1,1.2.1,2025-02-05,,168,,
WIZ-020,VM Public IP Direct Exposure,HIGH,Closed,Network,Azure,SUB-PROD-001,/subscriptions/prod-001/vm/vm-jump-01,Virtual Machine,vm-jump-01,East US,Yes,Internal,CIS Azure 6.2,6.2,2025-01-20,2025-01-25,168,,
WIZ-021,Cloud KMS Key Rotation Disabled,MEDIUM,Open,Encryption,GCP,PROJ-PROD-002,projects/prod-002/kms/keyring-prod/key-db,Cloud KMS Key,key-db,global,No,Confidential,CIS GCP 1.10,1.10,2025-02-08,,720,,
WIZ-022,NSG Flow Logs Disabled,MEDIUM,Open,Network,Azure,SUB-PROD-002,/subscriptions/prod-002/nsg/nsg-app-tier,NSG,nsg-app-tier,West US,No,Internal,CIS Azure 6.5,6.5,2025-02-10,,720,,
WIZ-023,SA with Owner Role at Project,CRITICAL,Open,IAM,GCP,PROJ-PROD-003,projects/prod-003/sa/svc-admin-tool,Service Account,svc-admin-tool,global,No,Restricted,CIS GCP 1.5,1.5,2025-02-12,,24,,
WIZ-024,AKS Privileged Container Detected,CRITICAL,Open,Container,Azure,SUB-PROD-002,/subscriptions/prod-002/aks/aks-prod-02/pods/debug-shell,AKS Pod,debug-shell,West US,No,Internal,CIS EKS 5.2.1,5.2.1,2025-02-14,,24,,
WIZ-025,Storage Account No Private Endpoint,HIGH,Open,Storage,Azure,SUB-PROD-003,/subscriptions/prod-003/storageAccounts/stgbackup,Storage Account,stgbackup,Central US,No,Confidential,CIS Azure 3.10,3.10,2025-02-15,,168,,
WIZ-026,VPC Flow Logs Disabled,MEDIUM,Open,Network,GCP,PROJ-PROD-001,projects/prod-001/subnets/subnet-app-01,VPC Subnet,subnet-app-01,us-central1,No,Internal,CIS GCP 3.8,3.8,2025-02-17,,720,,
WIZ-027,Guest Users with Privileged Role,HIGH,Closed,IAM,Azure,SUB-CORP-001,/tenants/corp/users/guest-contractor-01,Entra ID User,guest-contractor-01,global,No,Restricted,CIS Azure 1.3,1.3,2025-02-01,2025-02-05,168,,
WIZ-028,Default VPC Network in Use,HIGH,Open,Network,GCP,PROJ-DEV-001,projects/dev-001/networks/default,VPC Network,default,global,No,Internal,CIS GCP 3.1,3.1,2025-02-19,,168,,
WIZ-029,App Registration Secret Expired,MEDIUM,Open,IAM,Azure,SUB-CORP-001,/tenants/corp/apps/legacy-reporting-app,App Registration,legacy-reporting-app,global,No,Internal,CIS Azure 1.11,1.11,2025-02-20,,720,,
WIZ-030,GKE Pod Running as Root,HIGH,Open,Container,GCP,PROJ-PROD-003,projects/prod-003/clusters/gke-prod-01/pods/batch-processor,GKE Pod,batch-processor,us-east1,No,Internal,CIS GKE 5.2.6,5.2.6,2025-02-22,,168,,
WIZ-031,SQL Database No Private Endpoint,MEDIUM,Closed,Database,Azure,SUB-PROD-001,/subscriptions/prod-001/sql/sql-main,SQL Database,sql-main,East US,No,Confidential,CIS Azure 4.5,4.5,2025-02-10,2025-02-28,720,,
WIZ-032,Firewall Rule Allows All Egress,LOW,Open,Network,GCP,PROJ-PROD-002,projects/prod-002/firewalls/allow-all-egress,Firewall Rule,allow-all-egress,global,No,Internal,CIS GCP 3.9,3.9,2025-02-25,,2160,,
WIZ-033,VM No OS Login Configured,MEDIUM,Open,Compute,GCP,PROJ-PROD-001,projects/prod-001/instances/vm-web-01,Compute Instance,vm-web-01,us-central1,Yes,Internal,CIS GCP 4.4,4.4,2025-02-27,,720,,
WIZ-034,Key Vault Access Policy Too Broad,HIGH,Open,Encryption,Azure,SUB-PROD-002,/subscriptions/prod-002/keyvault/kv-shared,Key Vault,kv-shared,West US,No,Confidential,CIS Azure 8.5,8.5,2025-03-01,,168,,
WIZ-035,Container Registry Admin Enabled,MEDIUM,Open,Container,Azure,SUB-PROD-001,/subscriptions/prod-001/acr/acrprod01,Container Registry,acrprod01,East US,No,Internal,CIS Azure 9.1,9.1,2025-03-03,,720,,
WIZ-036,DNS Logging Disabled,LOW,Open,Network,GCP,PROJ-PROD-002,projects/prod-002/dns/prod-zone,Cloud DNS,prod-zone,global,No,Internal,CIS GCP 3.9,3.9,2025-03-05,,2160,,
